repo_name,course_number,course_title,term,year,levels,departments,topics,syllabus_words,github_url
18.315-spring-2005,18.315,"Combinatorial Theory: Introduction to Graph Theory, Extremal and Enumerative Combinatorics",Spring,2005,Graduate,18,"[[""Mathematics"", ""Algebra and Number Theory""], [""Mathematics"", ""Topology and Geometry""], [""Mathematics"", ""Discrete Mathematics""]]",236,https://github.com/mitocwcontent/18.315-spring-2005
2.996-fall-2007,2.996,Biomedical Devices Design Laboratory,Fall,2007,Graduate,2|6,"[[""Health and Medicine"", ""Biomedical Instrumentation""], [""Engineering"", ""Electrical Engineering""], [""Engineering"", ""Electrical Engineering"", ""Electronics""], [""Engineering"", ""Mechanical Engineering"", ""Mechanical Design""]]",1693,https://github.com/mitocwcontent/2.996-fall-2007
15.763j-spring-2005,15.763J,Manufacturing System and Supply Chain Design,Spring,2005,Graduate,15|1|IDS,"[[""Business"", ""Operations Management""], [""Business"", ""Supply Chain Management""]]",713,https://github.com/mitocwcontent/15.763j-spring-2005
6.728-fall-2006,6.728,Applied Quantum and Statistical Physics,Fall,2006,Graduate,6,"[[""Science"", ""Physics"", ""Quantum Mechanics""], [""Mathematics"", ""Probability and Statistics""], [""Science"", ""Physics"", ""Classical Mechanics""]]",884,https://github.com/mitocwcontent/6.728-fall-2006
11.126j-spring-2007,11.126J,Economics of Education,Spring,2007,Undergraduate,11|14,"[[""Teaching and Education"", ""Education Policy""], [""Social Science"", ""Economics"", ""Public Economics""], [""Social Science"", ""Economics"", ""Econometrics""]]",587,https://github.com/mitocwcontent/11.126j-spring-2007
6.270-january-iap-2005,6.270,Autonomous Robot Design Competition,January IAP,2005,Undergraduate,6,"[[""Engineering"", ""Electrical Engineering"", ""Robotics and Control Systems""], [""Engineering"", ""Computer Science"", ""Artificial Intelligence""], [""Engineering"", ""Computer Science"", ""Computer Design and Engineering""]]",1331,https://github.com/mitocwcontent/6.270-january-iap-2005
6.701-spring-2010,6.701,Introduction to Nanoelectronics,Spring,2010,Undergraduate,6,"[[""Energy"", ""Technology""], [""Engineering"", ""Electrical Engineering"", ""Electronics""], [""Science"", ""Chemistry"", ""Physical Chemistry""], [""Science"", ""Physics"", ""Quantum Mechanics""], [""Engineering"", ""Nanotechnology""]]",316,https://github.com/mitocwcontent/6.701-spring-2010
15.031j-spring-2012,15.031J,"Energy Decisions, Markets, and Policies",Spring,2012,Undergraduate,15|14|21A|11,"[[""Business"", ""Globalization""], [""Energy""], [""Social Science"", ""Economics"", ""International Economics""], [""Social Science"", ""Public Administration"", ""Science and Technology Policy""]]",669,https://github.com/mitocwcontent/15.031j-spring-2012
6.061-spring-2011,6.061,Introduction to Electric Power Systems,Spring,2011,Undergraduate,6,"[[""Engineering"", ""Electrical Engineering"", ""Electric Power""]]",558,https://github.com/mitocwcontent/6.061-spring-2011
6.s897-spring-2019,6.S897,Machine Learning for Healthcare,Spring,2019,Graduate,6|HST,"[[""Engineering"", ""Computer Science"", ""Artificial Intelligence""], [""Engineering"", ""Computer Science"", ""Human-Computer Interfaces""], [""Health and Medicine"", ""Medical Imaging""], [""Health and Medicine"", ""Public Health""]]",792,https://github.com/mitocwcontent/6.s897-spring-2019
15.s50-january-iap-2015,15.S50,Poker Theory and Analytics,January IAP,2015,Graduate,15,"[[""Business"", ""Management""], [""Mathematics"", ""Probability and Statistics""]]",675,https://github.com/mitocwcontent/15.s50-january-iap-2015
6.881-spring-2016,6.881,Computational Personal Genomics: Making Sense of Complete Genomes,Spring,2016,Graduate,6,"[[""Science"", ""Biology"", ""Computation and Systems Biology""], [""Science"", ""Biology"", ""Genetics""]]",1060,https://github.com/mitocwcontent/6.881-spring-2016
15.023j-spring-2008,15.023J,"Global Climate Change: Economics, Science, and Policy",Spring,2008,Graduate,15|12|ESD,"[[""Social Science"", ""Public Administration"", ""Environmental Policy""], [""Science"", ""Earth Science"", ""Climate Studies""], [""Social Science"", ""Public Administration"", ""Science and Technology Policy""], [""Social Science"", ""Economics""], [""Energy"", ""Climate""]]",479,https://github.com/mitocwcontent/15.023j-spring-2008
6.302-spring-2007,6.302,Feedback Systems,Spring,2007,Graduate,6,"[[""Engineering"", ""Electrical Engineering"", ""Electronics""], [""Engineering"", ""Electrical Engineering"", ""Robotics and Control Systems""]]",466,https://github.com/mitocwcontent/6.302-spring-2007
15.s12-fall-2018,15.S12,Blockchain and Money,Fall,2018,Graduate,15,"[[""Business"", ""Finance""], [""Business"", ""Information Technology""], [""Engineering"", ""Computer Science""], [""Engineering"", ""Computer Science"", ""Algorithms and Data Structures""], [""Engineering"", ""Computer Science"", ""Computer Networks""], [""Engineering"", ""Computer Science"", ""Cryptography""]]",290,https://github.com/mitocwcontent/15.s12-fall-2018
esd.68j-spring-2006,ESD.68J,Communications and Information Policy,Spring,2006,Graduate,ESD|6,"[[""Social Science"", ""Communication""], [""Engineering"", ""Electrical Engineering"", ""Telecommunications""], [""Social Science"", ""Public Administration"", ""Science and Technology Policy""]]",665,https://github.com/mitocwcontent/esd.68j-spring-2006
6.s096-january-iap-2013,6.S096,Introduction to C and C++,January IAP,2013,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Programming Languages""], [""Engineering"", ""Computer Science"", ""Software Design and Engineering""]]",267,https://github.com/mitocwcontent/6.s096-january-iap-2013
18.05-spring-2014,18.05,Introduction to Probability and Statistics,Spring,2014,Undergraduate,18,"[[""Mathematics"", ""Probability and Statistics""], [""Mathematics"", ""Discrete Mathematics""]]",856,https://github.com/mitocwcontent/18.05-spring-2014
14.42-spring-2011,14.42,Environmental Policy and Economics,Spring,2011,Undergraduate,14,"[[""Social Science"", ""Public Administration"", ""Environmental Policy""], [""Science"", ""Earth Science"", ""Sustainability""], [""Social Science"", ""Public Administration"", ""Public Policy""], [""Social Science"", ""Economics""]]",773,https://github.com/mitocwcontent/14.42-spring-2011
18.01sc-fall-2010,18.01SC,Single Variable Calculus,Fall,2010,Undergraduate,18,"[[""Mathematics"", ""Calculus""], [""Mathematics"", ""Differential Equations""]]",1086,https://github.com/mitocwcontent/18.01sc-fall-2010
16.412j-spring-2016,16.412J,Cognitive Robotics,Spring,2016,Graduate,16|6,"[[""Engineering"", ""Computer Science"", ""Artificial Intelligence""], [""Engineering"", ""Electrical Engineering"", ""Robotics and Control Systems""]]",1244,https://github.com/mitocwcontent/16.412j-spring-2016
24.941j-spring-2007,24.941J,The Lexicon and Its Features,Spring,2007,Graduate,24|6|9|HST,"[[""Science"", ""Cognitive Science""], [""Humanities"", ""Linguistics"", ""Phonology""], [""Humanities"", ""Linguistics""]]",626,https://github.com/mitocwcontent/24.941j-spring-2007
15.628j-spring-2013,15.628J,"Patents, Copyrights, and the Law of Intellectual Property",Spring,2013,Undergraduate,15|6,"[[""Business"", ""Management""], [""Social Science"", ""Legal Studies""], [""Social Science"", ""Public Administration"", ""Science and Technology Policy""]]",942,https://github.com/mitocwcontent/15.628j-spring-2013
6.720j-spring-2007,6.720J,Integrated Microelectronic Devices,Spring,2007,Graduate,6|3,"[[""Engineering"", ""Mechanical Engineering"", ""Microtechnology""], [""Engineering"", ""Electrical Engineering"", ""Electronics""], [""Science"", ""Physics"", ""Electromagnetism""], [""Engineering"", ""Nanotechnology""]]",1336,https://github.com/mitocwcontent/6.720j-spring-2007
14.121-fall-2015,14.121,Microeconomic Theory I,Fall,2015,Graduate,14,"[[""Social Science"", ""Economics"", ""Microeconomics""]]",344,https://github.com/mitocwcontent/14.121-fall-2015
6.161-fall-2005,6.161,Modern Optics Project Laboratory,Fall,2005,Undergraduate,6,"[[""Science"", ""Physics"", ""Atomic, Molecular, Optical Physics""], [""Engineering"", ""Electrical Engineering""]]",2494,https://github.com/mitocwcontent/6.161-fall-2005
18.336-spring-2009,18.336,Numerical Methods for Partial Differential Equations,Spring,2009,Graduate,18,"[[""Engineering"", ""Computer Science"", ""Algorithms and Data Structures""], [""Mathematics"", ""Differential Equations""], [""Engineering"", ""Systems Engineering"", ""Numerical Simulation""], [""Mathematics"", ""Mathematical Analysis""]]",518,https://github.com/mitocwcontent/18.336-spring-2009
18.786-spring-2006,18.786,Topics in Algebraic Number Theory,Spring,2006,Graduate,18,"[[""Mathematics"", ""Algebra and Number Theory""]]",798,https://github.com/mitocwcontent/18.786-spring-2006
14.64-fall-2009,14.64,Labor Economics and Public Policy,Fall,2009,Undergraduate,14,"[[""Social Science"", ""Economics"", ""Labor Economics""], [""Social Science"", ""Public Administration"", ""Public Policy""], [""Social Science"", ""Economics"", ""Microeconomics""], [""Social Science"", ""Economics"", ""Econometrics""]]",431,https://github.com/mitocwcontent/14.64-fall-2009
18.04-spring-2018,18.04,Complex Variables with Applications ,Spring,2018,Undergraduate,18,"[[""Mathematics"", ""Algebra and Number Theory""], [""Mathematics"", ""Calculus""], [""Mathematics"", ""Mathematical Analysis""]]",435,https://github.com/mitocwcontent/18.04-spring-2018
14.33-spring-2012,14.33,Economics Research and Communication,Spring,2012,Undergraduate,14,"[[""Social Science"", ""Communication""], [""Social Science"", ""Economics""]]",337,https://github.com/mitocwcontent/14.33-spring-2012
18.917-fall-2007,18.917,Topics in Algebraic Topology: The Sullivan Conjecture,Fall,2007,Graduate,18,"[[""Mathematics"", ""Algebra and Number Theory""], [""Mathematics"", ""Topology and Geometry""]]",465,https://github.com/mitocwcontent/18.917-fall-2007
15.818-spring-2010,15.818,Pricing,Spring,2010,Graduate,15,"[[""Social Science"", ""Economics"", ""Industrial Organization""], [""Social Science"", ""Economics"", ""Microeconomics""], [""Business"", ""Marketing""], [""Business"", ""Operations Management""]]",457,https://github.com/mitocwcontent/15.818-spring-2010
6.005-fall-2008,6.005,Elements of Software Construction,Fall,2008,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Programming Languages""], [""Engineering"", ""Computer Science"", ""Software Design and Engineering""]]",1184,https://github.com/mitocwcontent/6.005-fall-2008
6.001-spring-2005,6.001,Structure and Interpretation of Computer Programs,Spring,2005,Undergraduate,6,"[[""Engineering"", ""Computer Science""], [""Mathematics"", ""Computation""], [""Engineering"", ""Computer Science"", ""Theory of Computation""]]",3837,https://github.com/mitocwcontent/6.001-spring-2005
18.02-spring-2006,18.02,Multivariable Calculus,Spring,2006,Undergraduate,18,"[[""Mathematics"", ""Calculus""], [""Mathematics"", ""Linear Algebra""], [""Mathematics"", ""Differential Equations""]]",290,https://github.com/mitocwcontent/18.02-spring-2006
18.s997-fall-2012,18.S997,The Polynomial Method,Fall,2012,Graduate,18,"[[""Mathematics"", ""Algebra and Number Theory""], [""Mathematics"", ""Discrete Mathematics""]]",500,https://github.com/mitocwcontent/18.s997-fall-2012
15.225-spring-2008,15.225,Economy and Business in Modern China and India,Spring,2008,Graduate,15,"[[""Social Science"", ""Economics"", ""International Economics""], [""Business"", ""Globalization""], [""Society"", ""Asian Studies""]]",797,https://github.com/mitocwcontent/15.225-spring-2008
6.080-spring-2008,6.080,Great Ideas in Theoretical Computer Science,Spring,2008,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Theory of Computation""], [""Mathematics"", ""Applied Mathematics""], [""Mathematics"", ""Computation""]]",979,https://github.com/mitocwcontent/6.080-spring-2008
14.282-spring-2009,14.282,Organizational Economics,Spring,2009,Graduate,14,"[[""Social Science"", ""Economics"", ""Industrial Organization""], [""Social Science"", ""Economics"", ""Microeconomics""], [""Business"", ""Organizational Behavior""]]",329,https://github.com/mitocwcontent/14.282-spring-2009
14.123-spring-2015,14.123,Microeconomic Theory III,Spring,2015,Graduate,14,"[[""Social Science"", ""Economics"", ""Macroeconomics""], [""Social Science"", ""Game Theory""]]",304,https://github.com/mitocwcontent/14.123-spring-2015
6.034-fall-2010,6.034,Artificial Intelligence,Fall,2010,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Artificial Intelligence""], [""Engineering"", ""Computer Science"", ""Algorithms and Data Structures""], [""Engineering"", ""Computer Science"", ""Theory of Computation""]]",944,https://github.com/mitocwcontent/6.034-fall-2010
15.358-fall-2005,15.358,The Software Business,Fall,2005,Graduate,15,"[[""Business"", ""Management""], [""Business"", ""Information Technology""], [""Engineering"", ""Computer Science"", ""Software Design and Engineering""], [""Business"", ""Entrepreneurship""]]",650,https://github.com/mitocwcontent/15.358-fall-2005
6.435-spring-2005,6.435,System Identification,Spring,2005,Graduate,6,"[[""Engineering"", ""Systems Engineering"", ""Computational Science and Engineering""], [""Engineering"", ""Systems Engineering"", ""Numerical Simulation""], [""Mathematics"", ""Applied Mathematics""]]",369,https://github.com/mitocwcontent/6.435-spring-2005
15.810-fall-2010,15.810,Marketing Management,Fall,2010,Graduate,15,"[[""Business"", ""Management""], [""Business"", ""Marketing""]]",1145,https://github.com/mitocwcontent/15.810-fall-2010
6.777j-spring-2007,6.777J,Design and Fabrication of Microelectromechanical Devices,Spring,2007,Graduate,6|2,"[[""Engineering"", ""Electrical Engineering"", ""Electronics""], [""Engineering"", ""Mechanical Engineering"", ""Microtechnology""], [""Science"", ""Physics"", ""Electromagnetism""], [""Engineering"", ""Nanotechnology""]]",601,https://github.com/mitocwcontent/6.777j-spring-2007
6.s079-spring-2013,6.S079,Nanomaker,Spring,2013,Undergraduate,6,"[[""Energy"", ""Technology""], [""Engineering"", ""Nanotechnology""], [""Engineering"", ""Materials Science and Engineering"", ""Electronic Materials""], [""Engineering"", ""Electrical Engineering"", ""Electronics""]]",379,https://github.com/mitocwcontent/6.s079-spring-2013
14.451-fall-2009,14.451,Dynamic Optimization Methods with Applications,Fall,2009,Graduate,14,"[[""Engineering"", ""Systems Engineering"", ""Systems Optimization""], [""Mathematics"", ""Applied Mathematics""], [""Mathematics"", ""Probability and Statistics""], [""Social Science"", ""Economics""]]",409,https://github.com/mitocwcontent/14.451-fall-2009
6.837-fall-2012,6.837,Computer Graphics,Fall,2012,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Algorithms and Data Structures""], [""Engineering"", ""Computer Science"", ""Graphics and Visualization""], [""Engineering"", ""Computer Science"", ""Programming Languages""]]",377,https://github.com/mitocwcontent/6.837-fall-2012
6.857-spring-2014,6.857,Network and Computer Security,Spring,2014,Graduate,6,"[[""Engineering"", ""Computer Science"", ""Computer Networks""], [""Engineering"", ""Computer Science"", ""Cryptography""], [""Social Science"", ""Public Administration"", ""Security Studies""]]",1071,https://github.com/mitocwcontent/6.857-spring-2014
18.325-fall-2015,18.325,Topics in Applied Mathematics: Waves and Imaging,Fall,2015,Graduate,18,"[[""Mathematics"", ""Applied Mathematics""], [""Mathematics"", ""Computation""]]",295,https://github.com/mitocwcontent/18.325-fall-2015
6.006-spring-2020,6.006,Introduction to Algorithms,Spring,2020,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Algorithms and Data Structures""], [""Engineering"", ""Computer Science"", ""Theory of Computation""], [""Mathematics"", ""Computation""]]",368,https://github.com/mitocwcontent/6.006-spring-2020
18.022-fall-2010,18.022,Calculus of Several Variables,Fall,2010,Undergraduate,18,"[[""Mathematics"", ""Calculus""], [""Mathematics"", ""Differential Equations""], [""Mathematics"", ""Linear Algebra""]]",410,https://github.com/mitocwcontent/18.022-fall-2010
15.060-fall-2014,15.060,"Data, Models, and Decisions",Fall,2014,Graduate,15,"[[""Business"", ""Management""], [""Business"", ""Operations Management""], [""Business"", ""Supply Chain Management""], [""Engineering"", ""Computer Science"", ""Data Mining""], [""Engineering"", ""Systems Engineering"", ""Systems Optimization""], [""Mathematics"", ""Probability and Statistics""]]",1570,https://github.com/mitocwcontent/15.060-fall-2014
18.03-spring-2010,18.03,Differential Equations,Spring,2010,Undergraduate,18,"[[""Mathematics"", ""Differential Equations""], [""Mathematics"", ""Linear Algebra""]]",880,https://github.com/mitocwcontent/18.03-spring-2010
18.013a-spring-2005,18.013A,Calculus with Applications,Spring,2005,Undergraduate,18,"[[""Mathematics"", ""Differential Equations""], [""Mathematics"", ""Calculus""], [""Mathematics"", ""Applied Mathematics""]]",855,https://github.com/mitocwcontent/18.013a-spring-2005
15.281-spring-2016,15.281,Advanced Communication for Leaders,Spring,2016,Graduate,15,"[[""Business"", ""Leadership""], [""Business"", ""Management""], [""Social Science"", ""Communication""]]",561,https://github.com/mitocwcontent/15.281-spring-2016
6.041-fall-2010,6.041,Probabilistic Systems Analysis and Applied Probability,Fall,2010,Undergraduate,6,"[[""Mathematics"", ""Probability and Statistics""], [""Engineering"", ""Systems Engineering""], [""Mathematics"", ""Discrete Mathematics""]]",616,https://github.com/mitocwcontent/6.041-fall-2010
15.665-spring-2014,15.665,Power and Negotiation,Spring,2014,Graduate,15,"[[""Business"", ""Business Ethics""], [""Business"", ""Management""], [""Business"", ""Leadership""]]",1336,https://github.com/mitocwcontent/15.665-spring-2014
6.911-january-iap-2006,6.911,Transcribing Prosodic Structure of Spoken Utterances with ToBI,January IAP,2006,Undergraduate,6,"[[""Science"", ""Cognitive Science""], [""Humanities"", ""Linguistics"", ""Phonology""], [""Engineering"", ""Computer Science"", ""Theory of Computation""], [""Engineering"", ""Electrical Engineering"", ""Signal Processing""]]",663,https://github.com/mitocwcontent/6.911-january-iap-2006
6.045j-spring-2011,6.045J,"Automata, Computability, and Complexity",Spring,2011,Undergraduate,6|18,"[[""Engineering"", ""Computer Science"", ""Theory of Computation""], [""Mathematics"", ""Computation""], [""Engineering"", ""Computer Science"", ""Cryptography""], [""Mathematics"", ""Discrete Mathematics""]]",605,https://github.com/mitocwcontent/6.045j-spring-2011
6.012-fall-2009,6.012,Microelectronic Devices and Circuits,Fall,2009,Undergraduate,6,"[[""Engineering"", ""Computer Science"", ""Computer Design and Engineering""], [""Engineering"", ""Electrical Engineering"", ""Electronics""]]",558,https://github.com/mitocwcontent/6.012-fall-2009
14.30-spring-2006,14.30,Introduction to Statistical Method in Economics,Spring,2006,Undergraduate,14,"[[""Mathematics"", ""Probability and Statistics""], [""Social Science"", ""Economics"", ""Econometrics""]]",888,https://github.com/mitocwcontent/14.30-spring-2006
5.95j-fall-2015,5.95J,Teaching College-Level Science and Engineering,Fall,2015,Graduate,5|6|7|8|18|1|2,"[[""Engineering""], [""Teaching and Education"", ""Curriculum and Teaching""], [""Teaching and Education"", ""Education Policy""], [""Teaching and Education"", ""Educational Technology""], [""Teaching and Education"", ""Higher Education""]]",606,https://github.com/mitocwcontent/5.95j-fall-2015
6.436j-fall-2018,6.436J,Fundamentals of Probability,Fall,2018,Graduate,6|15,"[[""Mathematics"", ""Probability and Statistics""]]",613,https://github.com/mitocwcontent/6.436j-fall-2018
15.072j-spring-2006,15.072J,Queues: Theory and Applications,Spring,2006,Graduate,15|6,"[[""Engineering"", ""Systems Engineering"", ""Numerical Simulation""], [""Mathematics"", ""Applied Mathematics""], [""Engineering"", ""Systems Engineering"", ""Computational Modeling and Simulation""], [""Business"", ""Operations Management""]]",178,https://github.com/mitocwcontent/15.072j-spring-2006
